comments,risk,conditions,habitat,simulation,empirical,ps_model,other_model,review,link,DL,PY,AU,SO...14,SO...15,DOI
"cooperative breeding, learning",,,,,Arabian babblers,,,,sci-hub.st/http://dx.doi.org/10.1093/beheco/aru181,http://dx.doi.org/10.1093/beheco/aru181,2015,"Keynan, O; Ridley, AR; Lotem, A",Behavioral Ecology,Social Foraging Strategies And Acquisition Of Novel Foraging Skills In Cooperatively Breeding Arabian Babblers,10.1093/beheco/aru181
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1007/s00265-015-1901-5,http://dx.doi.org/10.1007/s00265-015-1901-5,2015,"Webster, MM; Laland, KN",Behavioral Ecology And Sociobiology,Space-Use And Sociability Are Not Related To Public-Information Use In Ninespine Sticklebacks,10.1007/s00265-015-1901-5
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1163/1568539X-00003293,http://dx.doi.org/10.1163/1568539X-00003293,2015,"Webster, MM; Laland, KN",Behaviour,Public Information Use By Foraging Ninespine Sticklebacks: Social Learning Or An Unlearned Social Influence On Travel Direction?,10.1163/1568539X-00003293
,,,,,red knots,,,,sci-hub.st/http://dx.doi.org/10.1016/j.beproc.2014.09.003,http://dx.doi.org/10.1016/j.beproc.2014.09.003,2015,"Bijleveld, AI; van Gils, JA; Jouta, J; Piersma, T",Behavioural Processes,Benefits Of Foraging In Small Groups: An Experimental Study On Public Information Use In Red Knots Calidris Canutus,10.1016/j.beproc.2014.09.003
reaction-diffusion,,,,y,,,,,sci-hub.st/http://dx.doi.org/10.3934/dcdsb.2015.20.1591,http://dx.doi.org/10.3934/dcdsb.2015.20.1591,2015,"Cosner, C; Nevai, AL",Discrete And Continuous Dynamical Systems-Series B,Spatial Population Dynamics In A Producer-Scrounger Model,10.3934/dcdsb.2015.20.1591
,,,,,,n,,,,,2015,"Schwamborn, R., Giarrizzo, T.",Estuaries And Coasts,Stable Isotope Discrimination By Consumers In A Tropical Mangrove Food Web: How Important Are Variations In C/N Ratio?,10.1007/s12237-014-9871-9
,,,,,,n,,,,,2015,"Harrison, K.",Global Environmental Politics,International Carbon Trade And Domestic Climate Politics,10.1162/GLEP_a_00310
,,,,,,n,,,,,2015,"Harikrishnan, R., Jawahar Senthil Kumar, V.",Indian Journal Of Science And Technology,An Integrated Xbee Arduino With Group Search Optimizer Approach For Localization In Wireless Sensor Networks,10.17485/ijst/2015/v8i22/79099
"Table 1, dominance, spatial position",,,,,vervet monkeys,,,,sci-hub.st/http://dx.doi.org/10.1007/s10764-015-9818-4,http://dx.doi.org/10.1007/s10764-015-9818-4,2015,"Teichroeb, JA; White, MMJ; Chapman, CA",International Journal Of Primatology,Vervet (Chlorocebus Pygerythrus) Intragroup Spatial Positioning: Dominants Trade-Off Predation Risk For Increased Food Acquisition,10.1007/s10764-015-9818-4
"Fig 1, fighting",,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1007/s00285-014-0848-x,http://dx.doi.org/10.1007/s00285-014-0848-x,2015,"Broom, M; Johanis, M; Rychtar, J",Journal Of Mathematical Biology,The Effect Of Fight Cost Structure On Fighting Behaviour,10.1007/s00285-014-0848-x
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.neucom.2013.09.065,http://dx.doi.org/10.1016/j.neucom.2013.09.065,2015,"Tan, Y; Li, CB; Cao, YJ; Lee, KY; Li, LJ; Tang, SW; Zhou, L",Neurocomputing,Improved Group Search Optimization Method For Optimal Power Flow Problem Considering Valve-Point Loading Effects,10.1016/j.neucom.2013.09.065
learning,,,,y,,,social learning,,sci-hub.st/http://dx.doi.org/10.1098/rspb.2015.1405,http://dx.doi.org/10.1098/rspb.2015.1405,2015,"Smolla, M; Gilman, RT; Galla, T; Shultz, S",Proceedings Of The Royal Society B-Biological Sciences,Competition For Resources Can Explain Patterns Of Social And Individual Learning In Nature,10.1098/rspb.2015.1405
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1007/s00500-014-1298-5,http://dx.doi.org/10.1007/s00500-014-1298-5,2015,"Chen, DB; Zou, F; Wang, JT; Yuan, WJ",Soft Computing,A Teaching-Learning-Based Optimization Algorithm With Producer-Scrounger Model For Global Optimization,10.1007/s00500-014-1298-5
,,,,,,n,,,,,2015,"Li, S.-L., Ma, L.-Y., Li, Y.-J., Wang, T.-H.",Zhendong Yu Chongji/Journal Of Vibration And Shock,Multi-Objective Quick Group Search Optimization Algorithm And Its Application In Model Updating,10.13465/j.cnki.jvs.2015.20.021
,,,,,,n,,,,,2016,"Akhand, M.A.H., Jannat, Z., Diba, T., Al-Mahmud","2015 Ieee International Wie Conference On Electrical And Computer Engineering, Wiecon-Ece 2015",Optimization Of Capacitated Vehicle Routing Problem Using Producer-Scrounger Method,10.1109/WIECON-ECE.2015.7443922
,,,,,,n,,,,,2016,"Akhand, M.A.H., Peya, Z.J., Sultana, T., Al-Mahmud","2Nd International Conference On Electrical Information And Communication Technologies, Eict 2015",Solving Capacitated Vehicle Routing Problem With Route Optimization Using Swarm Intelligence,10.1109/EICT.2015.7391932
see journal,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1186/s13662-016-0968-2,http://dx.doi.org/10.1186/s13662-016-0968-2,2016,"Wen, JH; Weng, PX",Advances In Difference Equations,Stability And Hopf Bifurcation Of A Producer-Scrounger Model With Age-Structure,10.1186/s13662-016-0968-2
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1177/1687814016664262,http://dx.doi.org/10.1177/1687814016664262,2016,"Deng, GL; Zhang, SN; Zhao, M",Advances In Mechanical Engineering,A Discrete Group Search Optimizer For Blocking Flow Shop Multi-Objective Scheduling,10.1177/1687814016664262
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2015.11.015,http://dx.doi.org/10.1016/j.anbehav.2015.11.015,2016,"Heinen, VK; Stephens, DW",Animal Behaviour,"Blue Jays, Cyanocitta Cristata, Devalue Social Information In Uncertain Environments",10.1016/j.anbehav.2015.11.015
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2016.03.021,http://dx.doi.org/10.1016/j.anbehav.2016.03.021,2016,"Ramakers, JJC; Dechmann, DKN; Page, RA; O'Mara, MT",Animal Behaviour,Frugivorous Bats Prefer Information From Novel Social Partners,10.1016/j.anbehav.2016.03.021
,,,,,honeybees,,dancer-follower,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2016.06.011,http://dx.doi.org/10.1016/j.anbehav.2016.06.011,2016,"Katz, K; Naug, D",Animal Behaviour,Dancers And Followers In A Honeybee Colony Differently Prioritize Individual And Colony Nutritional Needs,10.1016/j.anbehav.2016.06.011
,,,,,,n,host-seeking,,sci-hub.st/http://dx.doi.org/10.1007/s10489-015-0718-2,http://dx.doi.org/10.1007/s10489-015-0718-2,2016,"Feng, X; Liu, XT; Yu, HQ",Applied Intelligence,Group Mosquito Host-Seeking Algorithm,10.1007/s10489-015-0718-2
,,,,,three-spined sticklebacks,,,,,,2016,"Hansen, M.J., Ward, A.J.W., Fürtbauer, I., King, A.J.",Behavioral Ecology And Sociobiology,Environmental Quality Determines Finder-Joiner Dynamics In Socially Foraging Three-Spined Sticklebacks (Gasterosteus Aculeatus),10.1007/s00265-016-2111-5
,,,,,,y,,,,,2016,"Broom, M., Rychtář, J.",Ecological Complexity,A Model Of Food Stealing With Asymmetric Information,10.1016/j.ecocom.2015.05.001
,,,,,,n,,,,,2016,"Lihoreau, M; Pasquaretta, C; Heeb, P",Frontiers In Psychology,Commentary: Do Bees Play The Producer-Scrounger Game?,10.3389/fpsyc.2016.07355
,,,,,,y,finder-joiner,,sci-hub.st/http://dx.doi.org/10.1186/s12983-016-0180-y,http://dx.doi.org/10.1186/s12983-016-0180-y,2016,"Lee, YF; Kuo, YM; Chu, WC",Frontiers In Zoology,Energy State Affects Exploratory Behavior Of Tree Sparrows In A Group Context Under Differential Food-Patch Distributions,10.1186/s12983-016-0180-y
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1109/TEVC.2015.2494382,http://dx.doi.org/10.1109/TEVC.2015.2494382,2016,"Lim, SL; Bentley, PJ; Ishikawa, F",Ieee Transactions On Evolutionary Computation,The Effects Of Developer Dynamics On Fitness In An Evolutionary Ecosystem Model Of The App Store,10.1109/TEVC.2015.2494382
,,,,,,n,,,,,2016,"Chen, J.-J., Ji, T., Wu, P., Li, M.",Journal Of Computational Methods In Sciences And Engineering,A Variant Of Group Search Optimizer For Global Optimization,10.3233/JCM-160614
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1080/0952813X.2014.971467,http://dx.doi.org/10.1080/0952813X.2014.971467,2016,"Hasanzadeh, M; Sadeghi, S; Rezvanian, A; Meybodi, MR",Journal Of Experimental & Theoretical Artificial Intelligence,Success Rate Group Search Optimiser,10.1080/0952813X.2014.971467
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.jmaa.2016.03.030,http://dx.doi.org/10.1016/j.jmaa.2016.03.030,2016,"Zhou, J",Journal Of Mathematical Analysis And Applications,Qualitative Analysis Of A Producer-Scrounger Model,10.1016/j.jmaa.2016.03.030
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1111/mms.12314,http://dx.doi.org/10.1111/mms.12314,2016,"Gazda, SK",Marine Mammal Science,Driver-Barrier Feeding Behavior In Bottlenose Dolphins (Tursiops Truncatus): New Insights From A Longitudinal Study,10.1111/mms.12314
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1007/s00521-015-1963-3,http://dx.doi.org/10.1007/s00521-015-1963-3,2016,"Mokhtari, H",Neural Computing & Applications,Research On Group Search Optimizers For A Reconfigurable Flow Shop Sequencing Problem,10.1007/s00521-015-1963-3
"fish, metabolic rate",,,,,,,kleptoparasitism,,sci-hub.st/http://dx.doi.org/10.1016/j.physbeh.2016.01.046,http://dx.doi.org/10.1016/j.physbeh.2016.01.046,2016,"Geffroy, B; Bolliet, V; Bardonnet, A",Physiology & Behavior,Kleptoparasitism And Aggressiveness Are Influenced By Standard Metabolic Rate In Eels,10.1016/j.physbeh.2016.01.046
,,,,,,n,,,,,2016,"Banati, H., Arora, N.","Proceedings Of 2015 Ieee International Conference On Research In Computational Intelligence And Communication Networks, Icrcicn 2015",Tl-Gso: - A Hybrid Approach To Mine Communities From Social Networks,10.1109/ICRCICN.2015.7434226
"scarcity, depletion rate, resource ecology",,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1098/rspb.2015.2550,http://dx.doi.org/10.1098/rspb.2015.2550,2016,"Lee, AEG; Ounsley, JP; Coulson, T; Rowcliffe, JM; Cowlishaw, G",Proceedings Of The Royal Society B-Biological Sciences,Information Use And Resource Competition: An Integrative Framework,10.1098/rspb.2015.2550
,,,,,crab spiders,,,,sci-hub.st/http://dx.doi.org/10.1098/rspb.2016.0114,http://dx.doi.org/10.1098/rspb.2016.0114,2016,"Dumke, M; Herberstein, ME; Schneider, JM",Proceedings Of The Royal Society B-Biological Sciences,Producers And Scroungers: Feeding-Type Composition Changes With Group Size In A Socially Foraging Spider,10.1098/rspb.2016.0114
finder's share,,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2017.09.023,http://dx.doi.org/10.1016/j.anbehav.2017.09.023,2017,"Kok, RB; Stears, K; Shrader, AM",Animal Behaviour,Does The Removal Of Finder'S Share Influence The Scrounging Decisions Of Herbivores?,10.1016/j.anbehav.2017.09.023
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1093/beheco/arx121,http://dx.doi.org/10.1093/beheco/arx121,2017,"Webster, MM; Laland, KN",Behavioral Ecology,Social Information Use And Social Learning In Non-Grouping Fishes,10.1093/beheco/arx121
,,,,,,n,,,https://sci-hub.st/10.1016/j.beproc.2016.09.007,,2017,"Zandberg, L., Quinn, J.L., Naguib, M., van Oers, K.",Behavioural Processes,Personality-Dependent Differences In Problem-Solving Performance In A Social Context Reflect Foraging Strategies,10.1016/j.beproc.2016.09.007
,,,,,,n,,,https://sci-hub.st/10.1007/s10530-017-1458-5,,2017,"Liebhold, A.M., Brockerhoff, E.G., Kalisz, S., Nuñez, M.A., Wardle, D.A., Wingfield, M.J.",Biological Invasions,Biological Invasions In Forest Ecosystems,10.1007/s10530-017-1458-5
,,,,,,n,,,,http://dx.doi.org/10.3934/dcdsb.2017030,2017,"Wen, JH; Weng, PX",Discrete And Continuous Dynamical Systems-Series B,Traveling Wave Solutions In A Diffusive Producer-Scrounger Model,10.3934/dcdsb.2017030
hunger,,,,,three-spined sticklebacks,,,,sci-hub.st/http://dx.doi.org/10.1111/eth.12653,http://dx.doi.org/10.1111/eth.12653,2017,"Riddell, J; Webster, MM",Ethology,How Does Hunger Affect Convergence On Prey Patches In A Social Forager?,10.1111/eth.12653
"interspecific, scavenging",,,,y,,,,,sci-hub.st/http://dx.doi.org/10.1111/1365-2656.12663,http://dx.doi.org/10.1111/1365-2656.12663,2017,"Kane, A; Kendall, CJ",Journal Of Animal Ecology,Understanding How Mammalian Scavengers Use Information From Avian Scavengers: Cue From Above,10.1111/1365-2656.12663
,,,,,,n,,,,,2017,"Akhand, M.A.H., Peya, Z.J., Sultana, T., Rahman, M.M.H.",Journal Of Applied Science And Engineering,Solving Capacitated Vehicle Routing Problem Using Variant Sweep And Swarm Intelligence,10.6180/jase.2017.20.4.13
,,,,,,n,,,,,2017,"Deng, G.-L., Tian, G.-D., Gu, X.-S.",Kongzhi Yu Juece/Control And Decision,Multi-Objective Scheduling For Multi-Product Batch Process With No-Wait Constraint,10.13195/j.kzyjc.2015.1503
"learning, personality",,,,,sea bass,,,,sci-hub.st/http://dx.doi.org/10.3758/s13420-017-0266-1,http://dx.doi.org/10.3758/s13420-017-0266-1,2017,"Benhaim, D; Ferrari, S; Colchen, T; Chatain, B; Begout, ML",Learning & Behavior,Relationship Between Individual And Group Learning In A Marine Teleost: A Case Study With Sea Bass Under Self-Feeding Conditions,10.3758/s13420-017-0266-1
dominance,,,,,chacma baboons,,,,https://peerj.com/articles/3462/,http://dx.doi.org/10.7717/peerj.3462,2017,"Lee, AEG; Cowlishaw, G",Peerj,Switching Spatial Scale Reveals Dominance-Dependent Social Foraging Tactics In A Wild Primate,10.7717/peerj.3462
,,,,,,n,,,,,2017,"Zhai, J., Zhang, H., Hu, G., He, G., You, L.",Pic 2016 - Proceedings Of The 2016 Ieee International Conference On Progress In Informatics And Computing,A Novel Intelligent Service Selection Method For Third-Party It Service,10.1109/PIC.2016.7949578
"scale, personality",,,,,great tits,,,,https://royalsocietypublishing.org/doi/epdf/10.1098/rspb.2016.2872,http://dx.doi.org/10.1098/rspb.2016.2872,2017,"Aplin, LM; Morand-Ferron, J",Proceedings Of The Royal Society B-Biological Sciences,Stable Producer-Scrounger Dynamics In Wild Birds: Sociability And Learning Speed Covary With Scrounging Behaviour,10.1098/rspb.2016.2872
enrichment,,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1098/rsos.160830,http://dx.doi.org/10.1098/rsos.160830,2017,"Toyokawa, W",Royal Society Open Science,Scrounging By Foragers Can Resolve The Paradox Of Enrichment,10.1098/rsos.160830
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1007/s11276-016-1264-5,http://dx.doi.org/10.1007/s11276-016-1264-5,2017,"Parthasarathy, S; Venkateswaran, CJ",Wireless Networks,Scheduling Jobs Using Oppositional-Gso Algorithm In Cloud Computing Environment,10.1007/s11276-016-1264-5
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2018.04.024,http://dx.doi.org/10.1016/j.anbehav.2018.04.024,2018,"Jones, NAR; Webster, M; Templeton, CN; Schuster, S; Rendell, L",Animal Behaviour,Presence Of An Audience And Consistent Interindividual Differences Affect Archerfish Shooting Behaviour,10.1016/j.anbehav.2018.04.024
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2018.10.005,http://dx.doi.org/10.1016/j.anbehav.2018.10.005,2018,"Webster, MM; Laland, KN",Animal Behaviour,Experience Shapes Social Information Use In Foraging Fish,10.1016/j.anbehav.2018.10.005
,,,,,crab spiders,,,,sci-hub.st/http://dx.doi.org/10.1111/eth.12774,http://dx.doi.org/10.1111/eth.12774,2018,"Dumke, M; Herberstein, ME; Schneider, JM",Ethology,Advantages Of Social Foraging In Crab Spiders: Groups Capture More And Larger Prey Despite The Absence Of A Web,10.1111/eth.12774
,,,,,,y,,,https://sci-hub.st/10.3389/fams.2018.00049,,2018,"Ogura, Y., Amita, H., Matsushima, T.",Frontiers In Applied Mathematics And Statistics,Ecological Validity Of Impulsive Choice: Consequences Of Profitability-Based Short-Sighted Evaluation In The Producer-Scrounger Resource Competition,10.3389/fams.2018.00049
fighting,,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1007/s00285-017-1149-y,http://dx.doi.org/10.1007/s00285-017-1149-y,2018,"Broom, M; Johanis, M; Rychtar, J",Journal Of Mathematical Biology,The Effect Of Fight Cost Structure On Fighting Behaviour Involving Simultaneous Decisions And Variable Investment Levels,10.1007/s00285-017-1149-y
,,,,,,n,,,,,2018,"Brabazon, A., McGarraghy, S.",Natural Computing Series,Foraging Models And Algorithms,10.1007/978-3-319-59156-8_17
,,,,,Egyptian fruit bats,,,,sci-hub.st/http://dx.doi.org/10.1126/sciadv.1603293,http://dx.doi.org/10.1126/sciadv.1603293,2018,"Harten, L; Matalon, Y; Galli, N; Navon, H; Dor, R; Yovel, Y",Science Advances,Persistent Producer-Scrounger Relationships In Bats,10.1126/sciadv.1603293
body size,,,,y,coho salmon,,,,sci-hub.st/http://dx.doi.org/10.1007/s12080-018-0375-2,http://dx.doi.org/10.1007/s12080-018-0375-2,2018,"Phillips, JA; Peacock, SJ; Bateman, A; Bartlett, M; Lewis, MA; Krkosek, M",Theoretical Ecology,An Asymmetric Producer-Scrounger Game: Body Size And The Social Foraging Behavior Of Coho Salmon,10.1007/s12080-018-0375-2
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.asoc.2019.05.007,http://dx.doi.org/10.1016/j.asoc.2019.05.007,2019,"Deng, GL; Zhang, ZW; Jiang, TH; Zhang, SN",Applied Soft Computing,Total Flow Time Minimization In No-Wait Job Shop Using A Hybrid Discrete Group Search Optimizer,10.1016/j.asoc.2019.05.007
personality,,,,,Eurasian tree sparrows,,,,sci-hub.st/http://dx.doi.org/10.1093/beheco/arz026,http://dx.doi.org/10.1093/beheco/arz026,2019,"Fulop, A; Nemeth, Z; Kocsis, B; Deak-Molnar, B; Bozsoky, T; Barta, Z",Behavioral Ecology,Personality And Social Foraging Tactic Use In Free-Living Eurasian Tree Sparrows (Passer Montanus),10.1093/beheco/arz026
,,,,,Egyptian fruit bats,,,,sci-hub.st/http://dx.doi.org/10.1016/j.cub.2019.04.066,http://dx.doi.org/10.1016/j.cub.2019.04.066,2019,"Harten, L; Prat, Y; Ben Cohen, S; Dor, R; Yovel, Y",Current Biology,Food For Sex In Bats Revealed As Producer Males Reproduce With Scrounging Females,10.1016/j.cub.2019.04.066
,,,,,,n,,,,,2019,"Giraldeau, L.-A., Pyke, G.H.",Encyclopedia Of Animal Behavior,Group Foraging,10.1016/B978-0-12-809633-8.20868-6
,,,,,,n,,,,,2019,"Pyke, G.H.",Encyclopedia Of Animal Behavior,Foraging: Section Overview,10.1016/B978-0-12-809633-8.20879-0
,,,,,,n,,,,,2019,"Lefebvre, L., Boogert, N.J.",Encyclopedia Of Animal Behavior,Avian Social Learning,10.1016/B978-0-12-813251-7.00060-2
humans,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.evolhumbehav.2018.08.001,http://dx.doi.org/10.1016/j.evolhumbehav.2018.08.001,2019,"Kim, H; Toyokawa, W; Kameda, T",Evolution And Human Behavior,How Do We Decide When (Not) To Free-Ride? Risk Tolerance Predicts Behavioral Plasticity In Cooperation,10.1016/j.evolhumbehav.2018.08.001
humans,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.evolhumbehav.2019.05.004,http://dx.doi.org/10.1016/j.evolhumbehav.2019.05.004,2019,"Kuroda, K; Kameda, T",Evolution And Human Behavior,"You Watch My Back, I'Ll Watch Yours: Emergence Of Collective Risk Monitoring Through Tacit Coordination In Human Social Foraging",10.1016/j.evolhumbehav.2019.05.004
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1515/jisys-2017-0042,http://dx.doi.org/10.1515/jisys-2017-0042,2019,"Taj, N; Basu, A",Journal Of Intelligent Systems,Hybridization Of Genetic And Group Search Optimization Algorithm For Deadline- Constrained Task Scheduling Approach,10.1515/jisys-2017-0042
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.jtbi.2019.04.013,http://dx.doi.org/10.1016/j.jtbi.2019.04.013,2019,"Kobayashi, Y; Wakano, JY; Ohtsuki, H",Journal Of Theoretical Biology,Evolution Of Cumulative Culture For Niche Construction,10.1016/j.jtbi.2019.04.013
,,,,,,n,,,https://sci-hub.st/10.1007/s00227-019-3609-y,,2019,"Plum, C., Hillebrand, H.",Marine Biology,Multiple Zooplankton Species Alter The Stoichiometric Interactions Between Producer And Consumer Levels,10.1007/s00227-019-3609-y
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1109/ISPA-BDCloud-SocialCom-SustainCom51426.2020.00093,http://dx.doi.org/10.1109/ISPA-BDCloud-SocialCom-SustainCom51426.2020.00093,2020,"Song, W; Liu, S; Wang, XC; Wu, WG","2020 Ieee Intl Symp On Parallel & Distributed Processing With Applications, Intl Conf On Big Data & Cloud Computing, Intl Symp Social Computing & Networking, Intl Conf On Sustainable Computing & Communications (Ispa/Bdcloud/Socialcom/Sustaincom 2020)",An Improved Sparrow Search Algorithm,10.1109/ISPA-BDCloud-SocialCom-SustainCom51426.2020.00093
"plasticity, learning",,,,,Bengalese finches,,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2019.11.011,http://dx.doi.org/10.1016/j.anbehav.2019.11.011,2020,"Dagues, MB; Hall, CL; Giraldeau, LA",Animal Behaviour,Individual Differences In Learning Ability Are Negatively Linked To Behavioural Plasticity In A Frequency-Dependent Game,10.1016/j.anbehav.2019.11.011
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2020.08.018,http://dx.doi.org/10.1016/j.anbehav.2020.08.018,2020,"Steinegger, M; Sarhan, H; Bshary, R",Animal Behaviour,"Laboratory Experiments Reveal Effects Of Group Size On Hunting Performance In Yellow Saddle Goatfish, Parupeneus Cyclostomus",10.1016/j.anbehav.2020.08.018
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.apenergy.2020.114507,http://dx.doi.org/10.1016/j.apenergy.2020.114507,2020,"Zhang, X; Chan, KW; Wang, HZ; Zhou, B; Wang, GB; Qiu, J",Applied Energy,Multiple Group Search Optimization Based On Decomposition For Multi-Objective Dispatch With Electric Vehicle And Wind Power Uncertainties,10.1016/j.apenergy.2020.114507
"finder's share, spatial position",,,,,ring-tailed coatis,,,,sci-hub.st/http://dx.doi.org/10.1093/beheco/arz181,http://dx.doi.org/10.1093/beheco/arz181,2020,"Hirsch, BT; Malpass, E; Di Blanco, YE",Behavioral Ecology,Interindividual Spacing Affects The Finder'S Share In Ring-Tailed Coatis (Nasua Nasua),10.1093/beheco/arz181
plasticity,,,,,zebra finches,,,,sci-hub.st/http://dx.doi.org/10.1007/s00265-020-02886-1,http://dx.doi.org/10.1007/s00265-020-02886-1,2020,"Barou-Dagues, M; Richard-Dionne, E; Dubois, F",Behavioral Ecology And Sociobiology,Do Female Zebra Finches Prefer Males Exhibiting Greater Plasticity In Foraging Tactic Use?,10.1007/s00265-020-02886-1
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1163/1568539X-bja10047,http://dx.doi.org/10.1163/1568539X-bja10047,2020,"Wright, GS; Wilkinson, GS; Moss, CF",Behaviour,"Social Facilitation In Short-Tailed Fruit Bats, Carollia Perspicillata (Linnaeus)",10.1163/1568539X-bja10047
"scale, population, finder's share",,,,,,,,,sci-hub.st/http://dx.doi.org/10.1002/ece3.6111,http://dx.doi.org/10.1002/ece3.6111,2020,"Vickery, WL",Ecology And Evolution,Producing And Scrounging Can Have Stabilizing Effects At Multiple Levels Of Organization,10.1002/ece3.6111
"simultaneous opportunities, clumpiness, predation risk",y,,,y,,y,,,sci-hub.st/http://dx.doi.org/10.1002/ece3.6201,http://dx.doi.org/10.1002/ece3.6201,2020,"Dubois, F; Richard-Dionne, E",Ecology And Evolution,Consequences Of Multiple Simultaneous Opportunities To Exploit Others' Efforts On Free Riding,10.1002/ece3.6201
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1109/ACCESS.2020.3028934,http://dx.doi.org/10.1109/ACCESS.2020.3028934,2020,"Li, LJ; Chen, YD; Liu, HL; Tang, WB; Liu, MN; Wu, J; Li, ZY",Ieee Access,A Multi-Producer Group-Search-Optimization Method-Based Maximum-Power-Point-Tracking For Uniform And Partial Shading Condition,10.1109/ACCESS.2020.3028934
,,,,,,n,,,,,2020,"Cao, XR",Mathematical Models & Methods In Applied Sciences,Global Radial Renormalized Solution To A Producer -----Scrounger Model With Singular Sensitivities,10.1112/S0218202520400084
,,,,,,n,,,,,2020,"Cao, X.",Mathematical Models And Methods In Applied Sciences,Global Radial Renormalized Solution To A Producer-Scrounger Model With Singular Sensitivities,10.1142/S0218202520400084
"strategies, sex, dominance",,,,,yellow-bellied marmots,,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2020.11.018,http://dx.doi.org/10.1016/j.anbehav.2020.11.018,2021,"Evans, AW; Williams, DM; Blumstein, DT",Animal Behaviour,Producer-Scrounger Relationships In Yellow-Bellied Marmots,10.1016/j.anbehav.2020.11.018
"spatial position, dominance",,,,,vervet monkeys,,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2021.03.010,http://dx.doi.org/10.1016/j.anbehav.2021.03.010,2021,"Li, MF; Arseneau-Robar, TJM; Smeltzer, EA; Teichroeb, JA",Animal Behaviour,"Be Early Or Be Tolerated: Vervet Monkey, Chlorocebus Pygerythrus, Foraging Strategies In A Dispersed Resource",10.1016/j.anbehav.2021.03.010
"group size, outcome feedback",,,,,Wistar rats,,,,sci-hub.st/http://dx.doi.org/10.1016/j.beproc.2020.104280,http://dx.doi.org/10.1016/j.beproc.2020.104280,2021,"Alfaro, L; Cabrera, R",Behavioural Processes,Effect Of Group Size On Producer-Scrounger Strategies Of Wistar Rats,10.1016/j.beproc.2020.104280
assumptions,,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1016/j.beproc.2021.104488,http://dx.doi.org/10.1016/j.beproc.2021.104488,2021,"Alfaro, L; Cabrera, R",Behavioural Processes,Can The Setup Of A Patch Modulate Finder'S Advantage?,10.1016/j.beproc.2021.104488
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1109/ACCESS.2021.3128433,http://dx.doi.org/10.1109/ACCESS.2021.3128433,2021,"Wu, CY; Fu, XS; Pei, JK; Dong, ZG",Ieee Access,A Novel Sparrow Search Algorithm For The Traveling Salesman Problem,10.1109/ACCESS.2021.3128433
"cognition, learning",,,,,"great tits, blue tits",,,,sci-hub.st/http://dx.doi.org/10.1111/1365-2656.13551,http://dx.doi.org/10.1111/1365-2656.13551,2021,"Reichert, MS; Morand-Ferron, J; Kulahci, IG; Firth, JA; Davidson, GL; Crofts, SJ; Quinn, JL",Journal Of Animal Ecology,Cognition And Covariance In The Producer-Scrounger Game,10.1111/1365-2656.13551
,,,,,,n,,,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2656.13602,http://dx.doi.org/10.1111/1365-2656.13602,2021,"Vernouillet, A",Journal Of Animal Ecology,On The Importance Of Accounting For Alternative Foraging Tactics When Assessing Cognitive Performance In Wild Animals,10.1111/1365-2656.13602
